商品管理番号,商品番号,商品名,平均単価円,売上個数,売上円,売上件数
1000000134,823902,日本製 tシャツ レディース 半袖 5分袖 五分袖 ハイネック 綿100％ トップスとして使える きれいめ 上品 体型カバー Aライン カットソー 春夏 UVカット 無地 30-60代 母の日 ギフト,3980,6,23880,4
1000000115,5102,日本製 クール 接触冷感 ハイネック ノースリーブ レディース 綿100％ 夏用 肌映え美インナー シアー 首元カバー ゴルフ インナー タンクトップ メッシュ UVカット 冷房対策 薄手 重ね着 母の日,3780,5,18900,4
1000000175,6802,日本製 Ｔシャツ レディース 半袖 綿100% モックネック ハイネック トップス 接触冷感 UVカット 体型カバー きれいめ オフィス 敏感肌 カットソー 30-60代 大きいサイズ 春夏 首元カバー 母の日,3980,4,15920,3
1000000174,6801,日本製 モックネック ハイネック 長袖 Tシャツ 綿100％ レディース 接触冷感 UVカット 敏感肌 首元カバー 体型カバー きれいめ オフィス 10-60代 春夏秋 インナー カットソー 無地 重ね着 母の日 ギフト,3980,3,11940,2
1000000185,9525,日本製 ハイネック チュニック 半袖 カットソー 5分袖 ちびハイネック 綿100％ 接触冷感 クールローレル レディース コットン 首元カバー お尻が隠れる 後ろ長め きれいめ UV 吸汗速乾 無地 20-50代 春夏秋 母の日,4980,2,9960,1
100000067,5101,日本製 クール 接触冷感 ハイネック レディース 長袖 綿100％ UV 日焼け対策 夏用 肌映え美インナー 首元カバー シアー 冷房対策 ゴルフ インナー タートルネック 涼しい 薄手 敏感肌 重ね着 ギフト,4950,2,9900,2
100000099,5106,日本製 クール 接触冷感 クルーネック 長袖 綿100％ シアー インナー 重ね着 レディース 肌映え美インナー 首元すっきり 胸元カバー 涼しい 丸首 ゴルフ スポーツ カットソー UV 冷房対策 薄手 敏感肌,3965,2,7930,2
1000000111,5290-3826,ジレ レディース ロングベスト ロング 前開き 夏 春夏 シワになりにくい きれいめ 大人 体型カバー Iライン 重ね着 レイヤード 軽い ミセス 通勤 オフィス 母の日 ギフト 着痩せ 40-60代,6980,1,6980,1
1000000117,5107,日本製 短め ハイネック インナー レディース 7分袖 綿100％ 夏秋 肌映え美インナー 首元カバー 二の腕カバー シワ隠し ゴルフ インナー クール冷感 接触冷感 七分袖 涼しい タートルネック UV 冷房対策 薄手 重ね着,3465,2,6930,1
1000000173,5536-7490,きれい見え続くワイドパンツ レディース きれいめ イージーケア セレモニー 黒 シワになりにくい 落ち感 美脚シルエット 体型カバー 楽ちん 上品 大人カジュアル 通勤 オフィス 旅行 ポリエステル,5980,1,5980,1
1000000131,131,日本製 ハイネック レディース 長袖 綿100％ 起毛 あったかインナー カットソー 秋冬春 温活 トップス 敏感肌対応 チクチクしない 吸湿 通気性 タートルネック 重ね着 ゴルフ スポーツ 20-50代,3980,1,3980,1
1000000153,825963,日本製 ハイネック tシャツ レディース 長袖 綿100％ 夏 カットソー トップスとして使える きれいめ 上品 体型カバー Aライン 秋冬春夏 UVカット 無地 大きいサイズ ロンT インナー 30-60代 母の日 ギフト,3980,1,3980,1
1000000176,6807,日本製 Tシャツ レディース 長袖 綿100% モックネック ハイネック トップス 接触冷感 UVカット 体型カバー きれいめ オフィス 敏感肌 カットソー 30-60代 大きいサイズ 無地 春夏秋 首元カバー ロンT 母の日,3980,1,3980,1
1000000181,6329-8475,日本製 ハイネック ノースリーブ タンクトップ 綿100％ 接触冷感 UVカット 首元カバー シワ隠し シアー メッシュ 切り替え インナー レディース 10-60代 春夏秋 きれいめ 重ね着 涼しい 透け感 ネックカバー,3980,1,3980,1
合計,,,,32,134240,25
